Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S43980099,Snow Goose,Anser caerulescens,239,1000,US-VT,Franklin,Missisquoi NWR--Charcoal Creek,44.9702025,-73.1789446,03-25-2018,05:00 PM,eBird - Stationary Count,10,1,,,2,,Flying in the distance from Lake Champlain. Rough estimate,"With Heather, late afternoon, looking for the Trumpeter Swan (without success)"
S41867487,Snow Goose,Anser caerulescens,239,1000,CA-QC,Le Haut-Richelieu,Saint-Sébastien,45.135979,-73.1354713,11-21-2017,03:00 PM,eBird - Casual Observation,,0,,,2,,"A very large flock of hundreds of Snow Geese near the highway. Stopped and looked at them from a distance; I'm not proficient at judging numbers like this, but there were at least 1000.",Driving down towards the US.
S43174770,Snow Goose,Anser caerulescens,239,3000,US-IA,Scott,"201–299 Beiderbeck Dr, Davenport US-IA (41.5194,-90.5762)",41.519389,-90.576229,02-25-2018,11:19 AM,eBird - Stationary Count,10,1,,,3,,Flying overhead
S43175878,Snow Goose,Anser caerulescens,239,1000,US-IA,Scott,"2087–2371 E River Dr, Davenport US-IA (41.5292,-90.5435)",41.529166,-90.543507,02-25-2018,11:35 AM,eBird - Stationary Count,4,1,,,3
S43207756,Snow Goose,Anser caerulescens,239,400,US-IA,Scott,"6570–6640 Forest Grove Dr, Bettendorf US-IA (41.5906,-90.4429)",41.590553,-90.442867,02-26-2018,10:40 AM,eBird - Stationary Count,11,1,,,1
S41515504,Ross's Goose,Anser rossii,242,4,US-TN,Hamilton,Vulcan Employee Area,35.0460544,-85.2151537,01-01-2018,01:45 PM,eBird - Stationary Count,10,1,,,1,,"Saw Ross's Geese gliding amongst the Canada Geese. Round head, completely white except for black tail feathers, and small - suspected Snow Goose initially, but they didn't fit with the ones I'd seen before in Vermont and Quebec. The bill was grey from my vantage point, but I was quite far away. Debated this a lot, here, and after, and decided on a Ross identification for a few reason: the bill was small and triangular, and not large enough for a Snow; there was a lack of the huge grin on a Snow Goose; and the birds themselves were noticeably smaller than the Canada Geese. The all-white head lacked any rust-color I'd expect to see in a Snow Goose, too.","Saw a flock of geese in the small pond from the car, swerved in"
S41520553,Graylag Goose,Anser anser,245,10,GB-SCT,Eilean Siar,Horgabost,57.8645252,-6.9776917,06-08-2016,06:00 PM,eBird - Stationary Count,15,0,,,1,,,"Imported: Greylag Goose, 10+, distance, South Harris, 2016-06-08 18:00"
S51496429,Graylag Goose,Anser anser,245,4,IS-1,,Lækjartorg,64.1475671,-21.9365215,01-25-2016,03:36 PM,eBird - Casual Observation,,0,,,1,,,Walking.
S43245661,Brant,Branta bernicla,274,12,US-MA,Norfolk,"232–354 Atlantic Ave, Cohasset US-MA (42.2547,-70.7989)",42.254657,-70.798882,02-27-2018,05:06 PM,eBird - Traveling Count,47,1,1.582,,2,,,With Andrew
S43290591,Brant,Branta bernicla,274,42,US-MA,Norfolk,"270 Jerusalem Rd, Cohasset US-MA (42.2581,-70.8125)",42.258097,-70.812467,03-01-2018,11:51 AM,eBird - Traveling Count,33,1,.495,,1
S43264222,Brant,Branta bernicla,274,8,US-MA,Norfolk,"387 Forest Ave, Cohasset US-MA (42.2642,-70.8259)",42.264205,-70.825936,02-28-2018,12:16 PM,eBird - Stationary Count,24,1,,,1
S43263162,Brant,Branta bernicla,274,29,US-MA,Norfolk,"392–398 Jerusalem Rd, Cohasset US-MA (42.2629,-70.8165)",42.262852,-70.816484,02-28-2018,11:29 AM,eBird - Traveling Count,38,1,.097,,2,,,With Andrew
S41838864,Brant,Branta bernicla,274,8,US-MA,Norfolk,"Jerusalem Road, Cohasset",42.2594611,-70.8067989,01-11-2018,03:30 PM,eBird - Stationary Count,30,1,,,2
S50999125,Canada Goose,Branta canadensis,296,130,US-VT,Chittenden,Charlotte Ferry Landing - McNeil Cove,44.2999029,-73.2986445,12-27-2018,01:53 PM,eBird - Traveling Count,13,1,.381,,1
S43980099,Canada Goose,Branta canadensis,296,1000,US-VT,Franklin,Missisquoi NWR--Charcoal Creek,44.9702025,-73.1789446,03-25-2018,05:00 PM,eBird - Stationary Count,10,1,,,2,,"Hundreds in the marshes, and flying over head; rough estimate","With Heather, late afternoon, looking for the Trumpeter Swan (without success)"
S41515504,Canada Goose,Branta canadensis,296,75,US-TN,Hamilton,Vulcan Employee Area,35.0460544,-85.2151537,01-01-2018,01:45 PM,eBird - Stationary Count,10,1,,,1,,,"Saw a flock of geese in the small pond from the car, swerved in"
S43233594,Canada Goose,Branta canadensis,296,10,GB-SCT,Highland,South Ballachulish,56.6850175,-5.1729727,06-13-2016,10:00 AM,eBird - Casual Observation,,0,,,1,,,While hitchhiking
S46134834,Canada Goose,Branta canadensis,296,30,US-WA,King,"East Montlake Park, Seattle",47.6464533,-122.3002768,05-28-2018,02:30 PM,eBird - Casual Observation,,0,,,2,,,"While canoeing at UW. Had binoculars and a book, but didn't take specific counts and wasn't birdwatching as a primary activity."
S46055665,Canada Goose,Branta canadensis,296,5,US-WA,King,"Montlake Playfield, Seattle US-WA (47.6419,-122.3112)",47.641884,-122.311196,05-26-2018,08:29 PM,eBird - Stationary Count,2,1,,,1
S46023621,Canada Goose,Branta canadensis,296,19,US-WA,Kitsap,"270 Olympic Dr SE, Bainbridge Island US-WA (47.6227,-122.5102)",47.622739,-122.510208,05-25-2018,06:29 PM,eBird - Traveling Count,16,1,2.442,,1
