Tufted Titmouse,,, 2, At feeders near Walden Pond, Mass Audubon Drumlin Reservation,,,08/21/2016,15:00,MA,US,stationary,1,30,N,,,,
American Goldfinch,,, 2, At feeders near Walden Pond, Mass Audubon Drumlin Reservation,,,08/21/2016,15:00,MA,US,stationary,1,30,N,,,,
Hairy Woodpecker,,, 2, On pine trees, Mass Audubon Drumlin Reservation,,,08/21/2016,15:00,MA,US,stationary,1,30,N,,,,
Blue Jay,,, 2, High up in a tree, Mass Audubon Drumlin Reservation,,,08/21/2016,15:30,MA,US,stationary,1,30,N,,,,
Common Eider,,, 5, male and female Swimming, Provincetown Harbor,,,08/27/2016,12:00,MA,US,incidental,1,30,N,,,,
Great Blue Heron,,, 1, Hunting, Truro,,,08/27/2016,13:00,MA,US,incidental,1,30,N,,,,
Common Tern,,, X, Flying and perching, Truro Beaches,,,08/27/2016,15:00,MA,US,incidental,1,30,N,,,,
Tree Swallow,,, X, Hunting, Ballston Beach,,,08/27/2016,16:00,MA,US,incidental,1,30,N,,,,
Piping Plover,,, 1, On shore, North Truro,,,08/27/2016,16:30,MA,US,stationary,1,30,N,,,,
Belted Kingfisher,,, 2, Perching, Mill Pond in Truro,,,08/27/2016,18:00,MA,US,traveling,1,30,N,1,,,
Bonaparte's Gull,,, 1,, Mill Pond in Truro,,,08/27/2016,18:00,MA,US,traveling,1,30,N,1,,,
Whimbrel,,, 1, In salt marsh, Mill Pond in Truro,,,08/28/2016,12:30,MA,US,traveling,1,30,N,1,,,
Turkey Vulture,,, 1, Flying, Mill Pond in Truro,,,08/28/2016,13:00,MA,US,traveling,1,30,N,1,,,
Willet,,, 1, In salt marsh, Mill Pond in Truro,,,08/28/2016,13:05,MA,US,traveling,1,30,N,1,,,
Wild Turkey,,, 2, female In field, Vermont on the way to Burlington,,,08/31/2016,14:00,VT,US,incidental,1,30,N,,,,
Common Raven,,, 1, Flying, Montreal highway,,,09/04/2016,13:00,QC,CA,incidental,1,30,N,,,,
American Crow,,, X, in fields, Burlington,,,09/04/2016,16:00,VT,US,incidental,1,30,N,,,,
Red Tailed Hawk,,, 1, Perching in field on the side of the road, Shelburne,,,09/04/2016,18:20,VT,US,incidental,1,30,N,,,,
Ring-necked Duck,,, 3, male and two females swimming, Fresh Pond,,,09/08/2016,18:00,MA,US,incidental,1,30,N,,,,
