"ML Catalog #",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL"
135376331,Photo,"Dryobates villosus","Hairy Woodpecker",,"Richard Littauer",1/16/2019,2019,1,16,905,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,Unknown,,"Not Used",,,,,,,S51730555,,,,,,,,,"Dryobates villosus",haiwoo,Species,10766.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135376331","https://ebird.org/view/checklist/S51730555","https://ebird.org/species/haiwoo"
135376321,Photo,"Dryobates villosus","Hairy Woodpecker",,"Richard Littauer",1/16/2019,2019,1,16,905,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,Unknown,,"Not Used",,,,,,,S51730555,,,,,,,,,"Dryobates villosus",haiwoo,Species,10766.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135376321","https://ebird.org/view/checklist/S51730555","https://ebird.org/species/haiwoo"
135375881,Photo,"Corvus brachyrhynchos","American Crow",,"Richard Littauer",1/16/2019,2019,1,16,849,"United States",Vermont,Washington,"Hunger Mountain Co-op",44.2534,-72.5719,,Unknown,,"Not Used",,,,,,,S51730508,,,,,"Looks like one of these birds is missing the fourth left rectrix, or possible just the tip.",,,,"Corvus brachyrhynchos",amecro,Species,20471.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135375881","https://ebird.org/view/checklist/S51730508","https://ebird.org/species/amecro"
135375861,Photo,"Corvus brachyrhynchos","American Crow",,"Richard Littauer",1/16/2019,2019,1,16,849,"United States",Vermont,Washington,"Hunger Mountain Co-op",44.2534,-72.5719,,Unknown,,"Not Used",,,,,,,S51730508,,,,,"Looks like one of these birds is missing the fourth left rectrix, or possible just the tip.",,,,"Corvus brachyrhynchos",amecro,Species,20471.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135375861","https://ebird.org/view/checklist/S51730508","https://ebird.org/species/amecro"
135375851,Photo,"Corvus brachyrhynchos","American Crow",,"Richard Littauer",1/16/2019,2019,1,16,849,"United States",Vermont,Washington,"Hunger Mountain Co-op",44.2534,-72.5719,,Unknown,,"Not Used",,,,,,,S51730508,,,,,"Looks like one of these birds is missing the fourth left rectrix, or possible just the tip.",,,,"Corvus brachyrhynchos",amecro,Species,20471.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135375851","https://ebird.org/view/checklist/S51730508","https://ebird.org/species/amecro"
135375841,Photo,"Corvus brachyrhynchos","American Crow",,"Richard Littauer",1/16/2019,2019,1,16,849,"United States",Vermont,Washington,"Hunger Mountain Co-op",44.2534,-72.5719,,Unknown,,"Not Used",,,,,,,S51730508,,,,,"Looks like one of these birds is missing the fourth left rectrix, or possible just the tip.",,,,"Corvus brachyrhynchos",amecro,Species,20471.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135375841","https://ebird.org/view/checklist/S51730508","https://ebird.org/species/amecro"
135375831,Photo,"Corvus brachyrhynchos","American Crow",,"Richard Littauer",1/16/2019,2019,1,16,849,"United States",Vermont,Washington,"Hunger Mountain Co-op",44.2534,-72.5719,,Unknown,,"Not Used",,,,,,,S51730508,,,,,"Looks like one of these birds is missing the fourth left rectrix, or possible just the tip.",,,,"Corvus brachyrhynchos",amecro,Species,20471.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135375831","https://ebird.org/view/checklist/S51730508","https://ebird.org/species/amecro"
135375821,Photo,"Corvus brachyrhynchos","American Crow",,"Richard Littauer",1/16/2019,2019,1,16,849,"United States",Vermont,Washington,"Hunger Mountain Co-op",44.2534,-72.5719,,Unknown,,"Not Used",,,,,,,S51730508,,,,,"Looks like one of these birds is missing the fourth left rectrix, or possible just the tip.",,,,"Corvus brachyrhynchos",amecro,Species,20471.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135375821","https://ebird.org/view/checklist/S51730508","https://ebird.org/species/amecro"
135247151,Photo,"Haliaeetus leucocephalus","Bald Eagle",,"Richard Littauer",1/15/2019,2019,1,15,1250,"United States",Vermont,Washington,"Rt 2. Overpass",44.2752,-72.6506,,Unknown,,"Not Used",,,,,,,S51708587,,,,,"Mature, flying south. Flew over the hill to the east, and didn't continue on into the river valley. Unable to get a second shot. Clearly Bald Eagle given the white tail, horizontal wings, slow wing beats, and size.",,,,"Haliaeetus leucocephalus",baleag,Species,7828.0,,,1.0,2,committed,,"https://ebird.org/profile/Mjg0MTUx",1365,1719,"https://macaulaylibrary.org/asset/135247151","https://ebird.org/view/checklist/S51708587","https://ebird.org/species/baleag"
135247141,Photo,"Haliaeetus leucocephalus","Bald Eagle",,"Richard Littauer",1/15/2019,2019,1,15,1250,"United States",Vermont,Washington,"Rt 2. Overpass",44.2752,-72.6506,,Unknown,,"Not Used",,,,,,,S51708587,,,,,"Mature, flying south. Flew over the hill to the east, and didn't continue on into the river valley. Unable to get a second shot. Clearly Bald Eagle given the white tail, horizontal wings, slow wing beats, and size.",,,,"Haliaeetus leucocephalus",baleag,Species,7828.0,,,1.0,2,committed,,"https://ebird.org/profile/Mjg0MTUx",1090,2028,"https://macaulaylibrary.org/asset/135247141","https://ebird.org/view/checklist/S51708587","https://ebird.org/species/baleag"
135247131,Photo,"Haliaeetus leucocephalus","Bald Eagle",,"Richard Littauer",1/15/2019,2019,1,15,1250,"United States",Vermont,Washington,"Rt 2. Overpass",44.2752,-72.6506,,Unknown,,"Not Used",,,,,,,S51708587,,,,,"Mature, flying south. Flew over the hill to the east, and didn't continue on into the river valley. Unable to get a second shot. Clearly Bald Eagle given the white tail, horizontal wings, slow wing beats, and size.",,,,"Haliaeetus leucocephalus",baleag,Species,7828.0,,,1.0,2,committed,,"https://ebird.org/profile/Mjg0MTUx",611,1136,"https://macaulaylibrary.org/asset/135247131","https://ebird.org/view/checklist/S51708587","https://ebird.org/species/baleag"
135236151,Photo,"Sturnus vulgaris","European Starling",,"Richard Littauer",1/15/2019,2019,1,15,1204,"United States",Vermont,Washington,"Grow Compost",44.3111,-72.7149,,Unknown,,"Not Used",,,,,,,S51704196,,,,,,,,,"Sturnus vulgaris",eursta,Species,28432.0,,,1.5,2,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135236151","https://ebird.org/view/checklist/S51704196","https://ebird.org/species/eursta"
135225351,Photo,"Passer domesticus","House Sparrow",,"Richard Littauer",1/15/2019,2019,1,15,1027,"United States",Vermont,Washington,"Monsignor Crosby Ave (Traveling)",44.2579,-72.5748,,Unknown,,"Not Used",,,,,,,S51702167,,,,,"In normal bush outside St. Augustine Cathedral.",,,,"Passer domesticus",houspa,Species,33452.0,,,1.6666666666666667,3,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135225351","https://ebird.org/view/checklist/S51702167","https://ebird.org/species/houspa"
135225321,Photo,"Columba livia (Feral Pigeon)","Rock Pigeon (Feral Pigeon)",,"Richard Littauer",1/15/2019,2019,1,15,1027,"United States",Vermont,Washington,"Monsignor Crosby Ave (Traveling)",44.2579,-72.5748,,Unknown,,"Not Used",,,,,,,S51702167,,,,,"Counted in fives.",,,,"Columba livia",rocpig1,Domestic,1799.0,,,1.0,3,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135225321","https://ebird.org/view/checklist/S51702167","https://ebird.org/species/rocpig"
135225311,Photo,"Columba livia (Feral Pigeon)","Rock Pigeon (Feral Pigeon)",,"Richard Littauer",1/15/2019,2019,1,15,1027,"United States",Vermont,Washington,"Monsignor Crosby Ave (Traveling)",44.2579,-72.5748,,Unknown,,"Not Used",,,,,,,S51702167,,,,,"Counted in fives.",,,,"Columba livia",rocpig1,Domestic,1799.0,,,1.3333333333333333,3,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/135225311","https://ebird.org/view/checklist/S51702167","https://ebird.org/species/rocpig"
135081231,Photo,"Lanius borealis","Northern Shrike",,"Richard Littauer",1/14/2019,2019,1,14,1428,"United States",Vermont,Washington,"14 Cummings St, Montpelier US-VT (44.2742,-72.5704)",44.2742,-72.5704,,Unknown,,"Not Used",,,,,,,S51679345,,,,,"Continuing bird in the south meadow across the waking bridge of North Branch. On top of a tall tree.",,,,"Lanius borealis",norshr4,Species,18915.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/135081231","https://ebird.org/view/checklist/S51679345","https://ebird.org/species/norshr4"
135081221,Photo,"Lanius borealis","Northern Shrike",,"Richard Littauer",1/14/2019,2019,1,14,1428,"United States",Vermont,Washington,"14 Cummings St, Montpelier US-VT (44.2742,-72.5704)",44.2742,-72.5704,,Unknown,,"Not Used",,,,,,,S51679345,,,,,"Continuing bird in the south meadow across the waking bridge of North Branch. On top of a tall tree.",,,,"Lanius borealis",norshr4,Species,18915.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/135081221","https://ebird.org/view/checklist/S51679345","https://ebird.org/species/norshr4"
135081211,Photo,"Lanius borealis","Northern Shrike",,"Richard Littauer",1/14/2019,2019,1,14,1428,"United States",Vermont,Washington,"14 Cummings St, Montpelier US-VT (44.2742,-72.5704)",44.2742,-72.5704,,Unknown,,"Not Used",,,,,,,S51679345,,,,,"Continuing bird in the south meadow across the waking bridge of North Branch. On top of a tall tree.",,,,"Lanius borealis",norshr4,Species,18915.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/135081211","https://ebird.org/view/checklist/S51679345","https://ebird.org/species/norshr4"
135052771,Photo,"Accipiter cooperii","Cooper's Hawk",,"Richard Littauer",1/14/2019,2019,1,14,1325,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,Unknown,,"Not Used",,,,,,,S51675688,,,,,"Red eye signals more than 2 years old. Not sure what is going on with the gray belly, probably shadow from puffing or a molting bird.",,,,"Accipiter cooperii",coohaw,Species,7772.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/135052771","https://ebird.org/view/checklist/S51675688","https://ebird.org/species/coohaw"
135052761,Photo,"Accipiter cooperii","Cooper's Hawk",,"Richard Littauer",1/14/2019,2019,1,14,1325,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,Unknown,,"Not Used",,,,,,,S51675688,,,,,"Red eye signals more than 2 years old. Not sure what is going on with the gray belly, probably shadow from puffing or a molting bird.",,,,"Accipiter cooperii",coohaw,Species,7772.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/135052761","https://ebird.org/view/checklist/S51675688","https://ebird.org/species/coohaw"
135052751,Photo,"Accipiter cooperii","Cooper's Hawk",,"Richard Littauer",1/14/2019,2019,1,14,1325,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,Unknown,,"Not Used",,,,,,,S51675688,,,,,"Red eye signals more than 2 years old. Not sure what is going on with the gray belly, probably shadow from puffing or a molting bird.",,,,"Accipiter cooperii",coohaw,Species,7772.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/135052751","https://ebird.org/view/checklist/S51675688","https://ebird.org/species/coohaw"
135052741,Photo,"Accipiter cooperii","Cooper's Hawk",,"Richard Littauer",1/14/2019,2019,1,14,1325,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,Unknown,,"Not Used",,,,,,,S51675688,,,,,"Red eye signals more than 2 years old. Not sure what is going on with the gray belly, probably shadow from puffing or a molting bird.",,,,"Accipiter cooperii",coohaw,Species,7772.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/135052741","https://ebird.org/view/checklist/S51675688","https://ebird.org/species/coohaw"
134905011,Photo,"Zenaida macroura","Mourning Dove",,"Richard Littauer",1/13/2019,2019,1,13,1311,"United States",Vermont,Washington,"155 Main St, Montpelier US-VT (44.2644,-72.5697)",44.2644,-72.5697,,Unknown,,"Not Used",,,,,,,S51634153,,,,,,,,,"Zenaida macroura",moudov,Species,2323.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134905011","https://ebird.org/view/checklist/S51634153","https://ebird.org/species/moudov"
134904981,Photo,"Dryobates villosus","Hairy Woodpecker",,"Richard Littauer",1/13/2019,2019,1,13,1311,"United States",Vermont,Washington,"155 Main St, Montpelier US-VT (44.2644,-72.5697)",44.2644,-72.5697,,Unknown,,"Not Used",,,,,,,S51634153,,,,,,,,,"Dryobates villosus",haiwoo,Species,10766.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134904981","https://ebird.org/view/checklist/S51634153","https://ebird.org/species/haiwoo"
134904941,Photo,"Passer domesticus","House Sparrow",,"Richard Littauer",1/13/2019,2019,1,13,1311,"United States",Vermont,Washington,"155 Main St, Montpelier US-VT (44.2644,-72.5697)",44.2644,-72.5697,,Unknown,,"Not Used",,,,,,,S51634153,,,,,,,,,"Passer domesticus",houspa,Species,33452.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134904941","https://ebird.org/view/checklist/S51634153","https://ebird.org/species/houspa"
134904591,Photo,"Melanerpes carolinus","Red-bellied Woodpecker",,"Richard Littauer",1/13/2019,2019,1,13,1230,"United States",Vermont,Washington,"20 Loomis St, Montpelier US-VT (44.2610,-72.5701)",44.261,-72.5701,,Unknown,,"Not Used",,,,,,,S51632926,,,,,"Climbing up tree, making constant chirping noises.",,,,"Melanerpes carolinus",rebwoo,Species,10555.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134904591","https://ebird.org/view/checklist/S51632926","https://ebird.org/species/rebwoo"
134904581,Photo,"Melanerpes carolinus","Red-bellied Woodpecker",,"Richard Littauer",1/13/2019,2019,1,13,1230,"United States",Vermont,Washington,"20 Loomis St, Montpelier US-VT (44.2610,-72.5701)",44.261,-72.5701,,Unknown,,"Not Used",,,,,,,S51632926,,,,,"Climbing up tree, making constant chirping noises.",,,,"Melanerpes carolinus",rebwoo,Species,10555.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134904581","https://ebird.org/view/checklist/S51632926","https://ebird.org/species/rebwoo"
134904571,Photo,"Melanerpes carolinus","Red-bellied Woodpecker",,"Richard Littauer",1/13/2019,2019,1,13,1230,"United States",Vermont,Washington,"20 Loomis St, Montpelier US-VT (44.2610,-72.5701)",44.261,-72.5701,,Unknown,,"Not Used",,,,,,,S51632926,,,,,"Climbing up tree, making constant chirping noises.",,,,"Melanerpes carolinus",rebwoo,Species,10555.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134904571","https://ebird.org/view/checklist/S51632926","https://ebird.org/species/rebwoo"
134803931,Photo,"Meleagris gallopavo","Wild Turkey",,"Richard Littauer",1/12/2019,2019,1,12,800,"United States",Vermont,Washington,"945 Putnam Rd, Montpelier US-VT (44.3027,-72.4899)",44.3027,-72.4899,,Unknown,,"Not Used",,,,,,,S51582357,,,,,"Fat blobs roosting.",,,,"Meleagris gallopavo",wiltur,Species,1692.0,,,1.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",3024,4032,"https://macaulaylibrary.org/asset/134803931","https://ebird.org/view/checklist/S51582357","https://ebird.org/species/wiltur"
134803601,Photo,"Turdus migratorius","American Robin",,"Richard Littauer",1/13/2019,2019,1,13,1004,"United States",Vermont,Washington,"20 Loomis St, Montpelier US-VT (44.2610,-72.5701)",44.261,-72.5701,,Unknown,,"Not Used",,,,,,,S51626805,,,,,"First of spring. In crabapple tree oppose Graham Terr.",,,,"Turdus migratorius",amerob,Species,27999.0,,,1.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",3024,4032,"https://macaulaylibrary.org/asset/134803601","https://ebird.org/view/checklist/S51626805","https://ebird.org/species/amerob"
134803591,Photo,"Turdus migratorius","American Robin",,"Richard Littauer",1/13/2019,2019,1,13,1004,"United States",Vermont,Washington,"20 Loomis St, Montpelier US-VT (44.2610,-72.5701)",44.261,-72.5701,,Unknown,,"Not Used",,,,,,,S51626805,,,,,"First of spring. In crabapple tree oppose Graham Terr.",,,,"Turdus migratorius",amerob,Species,27999.0,,,1.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",3024,4032,"https://macaulaylibrary.org/asset/134803591","https://ebird.org/view/checklist/S51626805","https://ebird.org/species/amerob"
134661411,Photo,"Bombycilla garrulus","Bohemian Waxwing",,"Richard Littauer",1/12/2019,2019,1,12,1108,"United States",Vermont,Washington,"176–198 Partridge Run, Montpelier US-VT (44.2875,-72.5099)",44.2875,-72.5099,,Unknown,,"Not Used",,,,,,,S51587087,,,,,"Best guess. Counted into 60s and then another smaller flock joined in.",,,,"Bombycilla garrulus",bohwax,Species,29661.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134661411","https://ebird.org/view/checklist/S51587087","https://ebird.org/species/bohwax"
134661071,Photo,"Sturnus vulgaris","European Starling",,"Richard Littauer",1/11/2019,2019,1,11,1330,"United States",Vermont,Washington,"1075 Airport Rd, Barre US-VT (44.1907,-72.5490)",44.1907,-72.549,,Unknown,,"Not Used",,,,,,,S51557059,,,,,"Very cold Starling, with ice on its feathers.",,,,"Sturnus vulgaris",eursta,Species,28432.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",714,1114,"https://macaulaylibrary.org/asset/134661071","https://ebird.org/view/checklist/S51557059","https://ebird.org/species/eursta"
134265841,Photo,"Dryobates pubescens","Downy Woodpecker",,"Richard Littauer",1/10/2019,2019,1,10,1040,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,Unknown,,"Not Used",,,,,,,S51521663,,,,,,,,,"Dryobates pubescens",dowwoo,Species,10740.0,,,2.0,2,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134265841","https://ebird.org/view/checklist/S51521663","https://ebird.org/species/dowwoo"
134254191,Photo,"Sitta carolinensis carolinensis","White-breasted Nuthatch (Eastern)",,"Richard Littauer",1/10/2019,2019,1,10,812,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,,,"Not Used",,,,,,,S51517904,,,,,"Light blue back, thin black hood. Did not hear it call today.",,,,"Sitta carolinensis",whbnut2,Group,22154.0,,,2.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134254191","https://ebird.org/view/checklist/S51517904","https://ebird.org/species/whbnut"
134254181,Photo,"Sitta carolinensis carolinensis","White-breasted Nuthatch (Eastern)",,"Richard Littauer",1/10/2019,2019,1,10,812,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,,,"Not Used",,,,,,,S51517904,,,,,"Light blue back, thin black hood. Did not hear it call today.",,,,"Sitta carolinensis",whbnut2,Group,22154.0,,,2.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134254181","https://ebird.org/view/checklist/S51517904","https://ebird.org/species/whbnut"
134254171,Photo,"Sitta carolinensis carolinensis","White-breasted Nuthatch (Eastern)",,"Richard Littauer",1/10/2019,2019,1,10,812,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,,,"Not Used",,,,,,,S51517904,,,,,"Light blue back, thin black hood. Did not hear it call today.",,,,"Sitta carolinensis",whbnut2,Group,22154.0,,,2.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134254171","https://ebird.org/view/checklist/S51517904","https://ebird.org/species/whbnut"
134254141,Photo,"Baeolophus bicolor","Tufted Titmouse",,"Richard Littauer",1/10/2019,2019,1,10,812,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,,,"Not Used",,,,,,,S51517904,,,,,,,,,"Baeolophus bicolor",tuftit,Species,21896.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134254141","https://ebird.org/view/checklist/S51517904","https://ebird.org/species/tuftit"
134254131,Photo,"Baeolophus bicolor","Tufted Titmouse",,"Richard Littauer",1/10/2019,2019,1,10,812,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,,,"Not Used",,,,,,,S51517904,,,,,,,,,"Baeolophus bicolor",tuftit,Species,21896.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134254131","https://ebird.org/view/checklist/S51517904","https://ebird.org/species/tuftit"
134254121,Photo,"Baeolophus bicolor","Tufted Titmouse",,"Richard Littauer",1/10/2019,2019,1,10,812,"United States",Vermont,Washington,"Monsignor Crosby Ave (Yard)",44.258,-72.5747,,,,"Not Used",,,,,,,S51517904,,,,,,,,,"Baeolophus bicolor",tuftit,Species,21896.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134254121","https://ebird.org/view/checklist/S51517904","https://ebird.org/species/tuftit"
134137791,Photo,"Passer domesticus","House Sparrow",,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Passer domesticus",houspa,Species,33452.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137791","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/houspa"
134137741,Photo,"Pinicola enucleator","Pine Grosbeak",,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Pinicola enucleator",pingro,Species,29964.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137741","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/pingro"
134137731,Photo,"Pinicola enucleator","Pine Grosbeak",,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Pinicola enucleator",pingro,Species,29964.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137731","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/pingro"
134137721,Photo,"Pinicola enucleator","Pine Grosbeak",,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Pinicola enucleator",pingro,Species,29964.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137721","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/pingro"
134137711,Photo,"Pinicola enucleator","Pine Grosbeak",,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Pinicola enucleator",pingro,Species,29964.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137711","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/pingro"
134137621,Photo,"Columba livia (Feral Pigeon)","Rock Pigeon (Feral Pigeon)",,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Columba livia",rocpig1,Domestic,1799.0,,,2.0,1,committed,habitat,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137621","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/rocpig"
134137591,Photo,"Anas platyrhynchos",Mallard,,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Anas platyrhynchos",mallar3,Species,464.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137591","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/mallar3"
134137581,Photo,"Anas platyrhynchos",Mallard,,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Anas platyrhynchos",mallar3,Species,464.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137581","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/mallar3"
134137571,Photo,"Anas platyrhynchos",Mallard,,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Anas platyrhynchos",mallar3,Species,464.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137571","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/mallar3"
134137551,Photo,"Anas platyrhynchos",Mallard,,"Richard Littauer",1/9/2019,2019,1,9,1359,"United States",Vermont,Washington,"Downtown Montpelier",44.2599,-72.5761,,,,"Not Used",,,,,,,S51501084,,,,,,,,,"Anas platyrhynchos",mallar3,Species,464.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1824,2736,"https://macaulaylibrary.org/asset/134137551","https://ebird.org/view/checklist/S51501084","https://ebird.org/species/mallar3"
